year,name,price,mileage,location,link
2013,Kawasaki z,$1000,10000,"Hingham, MA",https://www.facebook.com/marketplace/item/879522849675592/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1999,Kawasaki zrx,$800,20000,"Brockton, MA",https://www.facebook.com/marketplace/item/1237523897008907/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2008,Kawasaki zzr,$1500,16000,"Oakdale, CT",https://www.facebook.com/marketplace/item/5495477633822906/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2005,Suzuki GSXR 1000 k5 only 8k miles,$1000,Dealership,"Boston, MA",https://www.facebook.com/marketplace/item/709891700238259/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1979,Suzuki gs,$1999,36000,"North Reading, MA",https://www.facebook.com/marketplace/item/1013990769278665/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2005,Suzuki gs,$799,66000,"Norwood, MA",https://www.facebook.com/marketplace/item/525797335886505/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1993,Suzuki gsx-r,$1000,1000,"Sanford, ME",https://www.facebook.com/marketplace/item/555807879626604/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1997,Suzuki gsx-r,$1500,25000,"Rochester, NH",https://www.facebook.com/marketplace/item/857190405265881/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2001,Suzuki gsx-r,$1234,20000,"Pawtucket, RI",https://www.facebook.com/marketplace/item/3120179508247414/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2002,Suzuki gsx-r,$1234,22000,"Waterbury, CT",https://www.facebook.com/marketplace/item/408369207868184/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2003,Suzuki gsx-r,$1000,15000,"Norwood, MA",https://www.facebook.com/marketplace/item/811037983592114/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2003,Suzuki gsx-r,$1234,17000,"Walpole, MA",https://www.facebook.com/marketplace/item/730423874960956/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
