year,name,price,mileage,location,link
2008,Honda cbr,$6500,30000,"Greenville, SC",https://www.facebook.com/marketplace/item/2889534577858846/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2009,Honda cbr,$6500,15000,"Greenville, SC",https://www.facebook.com/marketplace/item/7932542450153843/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2015,Honda cbr,$3500,65000,"Wellford, SC",https://www.facebook.com/marketplace/item/432961358898970/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Kawasaki ninja,$5000,75000,"Easley, SC",https://www.facebook.com/marketplace/item/1022733051774552/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Kawasaki ninja,$5200,21000,"Simpsonville, SC",https://www.facebook.com/marketplace/item/727537731898986/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2007,Kawasaki ninja,$5200,31000,"Spartanburg, SC",https://www.facebook.com/marketplace/item/322988679992340/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2009,Kawasaki ninja,$5000,36000,"Wellford, SC",https://www.facebook.com/marketplace/item/1405719359951185/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Kawasaki z,$6000,20000,"Asheville, NC",https://www.facebook.com/marketplace/item/557848995790370/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2008,Kawasaki z,$6000,14000,"Tryon, NC",https://www.facebook.com/marketplace/item/851820639316144/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2003,Suzuki gsx-r,$5000,20000,"Spartanburg, SC",https://www.facebook.com/marketplace/item/594427225648787/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2007,Suzuki gsx-r,$4200,20000,"Spartanburg, SC",https://www.facebook.com/marketplace/item/554317972854445/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2007,Suzuki gsx-r,$6000,41000,"Duncan, SC",https://www.facebook.com/marketplace/item/637500514400899/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2008,Suzuki gsx-r,$4500,23000,"Inman, SC",https://www.facebook.com/marketplace/item/5394266980658963/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2009,Suzuki gsx-r,$5500,10000,"Iva, SC",https://www.facebook.com/marketplace/item/2929463037356126/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Suzuki gsxr,$6500,29000,"Spartanburg, SC",https://www.facebook.com/marketplace/item/2445622278921716/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2017,Yamaha fz,$6500,16000,"Williamston, SC",https://www.facebook.com/marketplace/item/600218121470083/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2009,Yamaha fz6,$3750,12000,"Simpsonville, SC",https://www.facebook.com/marketplace/item/423772583080871/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2008,Yamaha yzf,$6000,33000,"Westminster, SC",https://www.facebook.com/marketplace/item/5345418605577935/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2016,Yamaha yzf,$2500,12000,"Anderson, SC",https://www.facebook.com/marketplace/item/829080908252242/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2003,Yamaha yzf-r,$3900,13000,"Hendersonville, NC",https://www.facebook.com/marketplace/item/670072757297266/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2004,Yamaha yzf-r1,$5100,35000,"Piedmont, SC",https://www.facebook.com/marketplace/item/1106265983630023/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Yamaha yzf-r1,$1900,15000,"Union, SC",https://www.facebook.com/marketplace/item/380837280747632/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2021,Yamaha yzf-r1,$4600,10000,"Inman, SC",https://www.facebook.com/marketplace/item/497628121749536/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2021,Yamaha yzf-r1,$6900,11000,"Greenville, SC",https://www.facebook.com/marketplace/item/451498617035159/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2005,Yamaha yzfr,$5000,31000,"Hendersonville, NC",https://www.facebook.com/marketplace/item/8255624567788941/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
